ticker,keyword,category,source
RKLB,Rocket Lab Corporation Common Stock,company,nasdaq
ROAD,Construction Partners Inc. Class A Common Stock,company,nasdaq
ROK,Rockwell Automation Inc. Common Stock,company,nasdaq
RR,Richtech Robotics Inc. Class B Common Stock,company,nasdaq
RTX,RTX Corporation Common Stock,company,nasdaq
SARO,StandardAero Inc. Common Stock,company,nasdaq
SENS,Senseonics Holdings Inc. Common Stock,company,nasdaq
SHIM,Shimmick Corporation Common Stock,company,nasdaq
SIF,SIFCO Industries Inc. Common Stock,company,nasdaq
SLND,Southland Holdings Inc. Common Stock,company,nasdaq
SOLS,Solstice Advanced Materials Inc. Common Stock ,company,nasdaq
SPR,Spirit Aerosystems Holdings Inc. Common Stock,company,nasdaq
SPXC,SPX Technologies Inc. Common Stock,company,nasdaq
STRL,Sterling Infrastructure Inc. Common Stock,company,nasdaq
SWBI,Smith & Wesson Brands Inc. Common Stock,company,nasdaq
SXI,Standex International Corporation Common Stock,company,nasdaq
SYM,Symbotic Inc. Class A Common Stock,company,nasdaq
SYPR,Sypris Solutions Inc. Common Stock,company,nasdaq
TAYD,Taylor Devices Inc. Common Stock,company,nasdaq
TDG,Transdigm Group Incorporated Common Stock,company,nasdaq
TDY,Teledyne Technologies Incorporated Common Stock,company,nasdaq
TGEN,Tecogen Inc. Common Stock,company,nasdaq
TMO,Thermo Fisher Scientific Inc Common Stock,company,nasdaq
TNC,Tennant Company Common Stock,company,nasdaq
TRMB,Trimble Inc. Common Stock,company,nasdaq
TWIN,Twin Disc Incorporated Common Stock,company,nasdaq
TXT,Textron Inc. Common Stock,company,nasdaq
UAVS,AgEagle Aerial Systems Inc. Common Stock,company,nasdaq
VNT,Vontier Corporation Common Stock ,company,nasdaq
VOYG,Voyager Technologies Inc. Class A Common Stock,company,nasdaq
WRAP,Wrap Technologies Inc. Common Stock,company,nasdaq
ZBRA,Zebra Technologies Corporation Class A Common Stock,company,nasdaq
ZWS,Zurn Elkay Water Solutions Corporation Common Stock,company,nasdaq
